SET IDENTITY_INSERT [dbo].[CarModel] ON
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (1, N'Porsche', N'Cayman', 2012, CAST(658988.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (2, N'Chevrolet', N'Suburban 2500', 1996, CAST(52726.80 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (3, N'Chrysler', N'Concorde', 2001, CAST(5726.19 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (4, N'Ford', N'Econoline E250', 2000, CAST(72895.28 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (5, N'Dodge', N'Grand Caravan', 1992, CAST(88105.50 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (6, N'BMW', N'3 Series', 1998, CAST(29741.85 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (7, N'Dodge', N'Aries', 1981, CAST(20512.36 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (8, N'Acura', N'TL', 2008, CAST(93344.29 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (9, N'Ford', N'Taurus', 2005, CAST(62632.53 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (10, N'Mercury', N'Villager', 1998, CAST(52576.44 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (11, N'Lexus', N'ES', 1993, CAST(5138.58 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (12, N'Ford', N'Five Hundred', 2005, CAST(65233.09 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (13, N'Audi', N'A3', 2012, CAST(18555.77 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (14, N'Toyota', N'4Runner', 2004, CAST(95589.83 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (15, N'Ford', N'Bronco II', 1985, CAST(44979.20 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (16, N'Dodge', N'Dakota Club', 2006, CAST(30571.74 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (17, N'Nissan', N'Sentra', 1996, CAST(57473.96 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (18, N'Dodge', N'Ram Wagon B350', 1993, CAST(48253.26 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (19, N'Honda', N'Fit', 2008, CAST(85745.08 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (20, N'Mazda', N'Tribute', 2011, CAST(80658.46 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (21, N'Ford', N'Thunderbird', 1955, CAST(47842.14 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (22, N'Ford', N'Crown Victoria', 2006, CAST(41066.22 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (23, N'Volvo', N'C70', 2009, CAST(94463.16 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (24, N'Dodge', N'Dakota', 1998, CAST(93696.31 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (25, N'Ford', N'Laser', 1984, CAST(70027.15 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (26, N'Ford', N'F150', 2000, CAST(30000.87 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (27, N'Suzuki', N'Samurai', 1994, CAST(36357.07 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (28, N'Infiniti', N'QX', 2000, CAST(44648.41 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (29, N'Scion', N'xD', 2010, CAST(40126.41 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (30, N'Mercury', N'Capri', 1994, CAST(53596.89 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (31, N'Chevrolet', N'Blazer', 1993, CAST(16655.81 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (32, N'Maserati', N'Coupe', 2005, CAST(1751.13 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (33, N'Mercury', N'Sable', 2005, CAST(89610.10 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (34, N'Pontiac', N'Grand Prix', 2008, CAST(66617.22 AS Decimal(18, 2)))
INSERT INTO [dbo].[CarModel] ([Id], [Make], [Model], [CarModelYear], [Price]) VALUES (35, N'Saab', N'9-5', 2011, CAST(87114.23 AS Decimal(18, 2)))
